ts	s	trisk	nrisk
3.32E-01	9.90E+01	0	211
3.32E-01	9.90E+01	10	143
8.32E-01	9.90E+01	20	101
9.98E-01	9.86E+01	30	66
1.33E+00	9.76E+01	40	35
1.33E+00	9.83E+01	50	9
1.83E+00	9.76E+01		
2.33E+00	9.69E+01		
2.66E+00	9.65E+01		
2.99E+00	9.62E+01		
3.49E+00	9.58E+01		
3.82E+00	9.27E+01		
3.82E+00	9.45E+01		
4.14E+00	8.54E+01		
4.14E+00	8.68E+01		
4.15E+00	8.96E+01		
4.15E+00	9.13E+01		
4.64E+00	8.44E+01		
4.81E+00	8.34E+01		
5.14E+00	8.13E+01		
5.63E+00	7.95E+01		
5.63E+00	8.06E+01		
5.80E+00	7.78E+01		
5.96E+00	7.61E+01		
6.46E+00	7.43E+01		
7.12E+00	7.19E+01		
7.28E+00	7.09E+01		
7.78E+00	7.02E+01		
8.11E+00	6.74E+01		
8.11E+00	6.88E+01		
8.44E+00	6.50E+01		
8.94E+00	6.32E+01		
9.44E+00	6.22E+01		
9.94E+00	6.15E+01		
1.03E+01	6.05E+01		
1.13E+01	5.98E+01		
1.16E+01	5.84E+01		
1.18E+01	5.77E+01		
1.19E+01	5.70E+01		
1.21E+01	5.49E+01		
1.21E+01	5.60E+01		
1.28E+01	5.39E+01		
1.29E+01	5.25E+01		
1.34E+01	5.25E+01		
1.38E+01	5.18E+01		
1.46E+01	5.08E+01		
1.49E+01	5.04E+01		
1.61E+01	4.87E+01		
1.69E+01	4.77E+01		
1.79E+01	4.59E+01		
1.84E+01	4.45E+01		
1.87E+01	4.42E+01		
1.96E+01	4.42E+01		
2.04E+01	4.18E+01		
2.04E+01	4.32E+01		
2.11E+01	4.18E+01		
2.19E+01	4.18E+01		
2.34E+01	4.11E+01		
2.34E+01	4.18E+01		
2.42E+01	4.04E+01		
2.54E+01	3.97E+01		
2.59E+01	3.90E+01		
2.61E+01	3.80E+01		
2.71E+01	3.83E+01		
2.81E+01	3.83E+01		
2.84E+01	3.80E+01		
2.86E+01	3.69E+01		
2.91E+01	3.73E+01		
2.99E+01	3.76E+01		
3.07E+01	3.66E+01		
3.07E+01	3.73E+01		
3.09E+01	3.56E+01		
3.16E+01	3.63E+01		
3.24E+01	3.63E+01		
3.26E+01	3.38E+01		
3.26E+01	3.52E+01		
3.37E+01	3.38E+01		
3.56E+01	3.39E+01		
3.66E+01	3.46E+01		
3.67E+01	3.28E+01		
3.76E+01	3.35E+01		
3.89E+01	3.28E+01		
4.04E+01	3.32E+01		
4.06E+01	3.18E+01		
4.14E+01	3.18E+01		
4.21E+01	3.18E+01		
4.29E+01	3.18E+01		
4.31E+01	3.01E+01		
4.32E+01	2.90E+01		
4.44E+01	2.94E+01		
4.59E+01	2.97E+01		
4.70E+01	2.84E+01		
4.70E+01	2.94E+01		
4.72E+01	2.80E+01		
4.82E+01	2.84E+01		
4.97E+01	2.80E+01		
5.05E+01	2.80E+01		
5.19E+01	2.53E+01		
5.37E+01	2.53E+01		
5.50E+01	2.53E+01		
5.67E+01	2.49E+01		
5.84E+01	2.53E+01		
