GEO_ID|GEO_ID2|SUMLEVEL|GEO_NAME|P019001|P019002|P019003|P019004|P019005|P019006|P019007|P019008|P019009|P019010|P019011|P019012|P019013|P019014|P019015|P019016|P019017|P019018|P019019
Geography Identifier|Geography Identifier|Geographic Summary Level|Geography|Households: Total|Households:  Households with one or more people under 18 years|Households:  Households with one or more people under 18 years; Family households|Households:  Households with one or more people under 18 years; Family households; Married-couple family|Households:  Households with one or more people under 18 years; Family households; Other family|Households:  Households with one or more people under 18 years; Family households; Other family; Male householder; no wife present|Households:  Households with one or more people under 18 years; Family households; Other family; Female householder; no husband present|Households:  Households with one or more people under 18 years; Nonfamily households|Households:  Households with one or more people under 18 years; Nonfamily households; Male householder|Households:  Households with one or more people under 18 years; Nonfamily households; Female householder|Households:  Households with no people under 18 years|Households:  Households with no people under 18 years; Family households|Households:  Households with no people under 18 years; Family households; Married-couple family|Households:  Households with no people under 18 years; Family households; Other family|Households:  Households with no people under 18 years; Family households; Other family; Male householder; no wife present|Households:  Households with no people under 18 years; Family households; Other family; Female householder; no husband present|Households:  Households with no people under 18 years; Nonfamily households|Households:  Households with no people under 18 years; Nonfamily households; Male householder|Households:  Households with no people under 18 years; Nonfamily households; Female householder
05000US01001|01001|050|Autauga County, Alabama|16003|6880|6822|4967|1855|398|1457|58|43|15|9123|5531|4686|845|204|641|3592|1604|1988
05000US01003|01003|050|Baldwin County, Alabama|55336|19076|18895|14026|4869|1053|3816|181|140|41|36260|21365|18813|2552|698|1854|14895|6771|8124
05000US01005|01005|050|Barbour County, Alabama|10409|3971|3939|2247|1692|242|1450|32|19|13|6438|3454|2739|715|182|533|2984|1262|1722
05000US01007|01007|050|Bibb County, Alabama|7421|2859|2843|2051|792|165|627|16|13|3|4562|2738|2280|458|146|312|1824|868|956
05000US01009|01009|050|Blount County, Alabama|19265|7252|7198|5843|1355|405|950|54|46|8|12013|7609|6773|836|272|564|4404|1988|2416
05000US01011|01011|050|Bullock County, Alabama|3986|1572|1561|626|935|107|828|11|6|5|2414|1170|789|381|85|296|1244|553|691
05000US01013|01013|050|Butler County, Alabama|8398|3118|3095|1823|1272|186|1086|23|17|6|5280|2777|2186|591|149|442|2503|1050|1453
05000US01015|01015|050|Calhoun County, Alabama|45307|15194|15042|10154|4888|902|3986|152|108|44|30113|16258|13493|2765|696|2069|13855|5901|7954
05000US01017|01017|050|Chambers County, Alabama|14522|5073|5017|3019|1998|314|1684|56|43|13|9449|5180|4024|1156|317|839|4269|1788|2481
05000US01019|01019|050|Cherokee County, Alabama|9719|3129|3111|2383|728|209|519|18|14|4|6590|4091|3587|504|129|375|2499|1127|1372
05000US01021|01021|050|Chilton County, Alabama|15287|5804|5745|4339|1406|327|1079|59|46|13|9483|5594|4846|748|229|519|3889|1696|2193
05000US01023|01023|050|Choctaw County, Alabama|6363|2353|2340|1484|856|138|718|13|8|5|4010|2233|1826|407|104|303|1777|779|998
05000US01025|01025|050|Clarke County, Alabama|10578|4214|4194|2780|1414|200|1214|20|16|4|6364|3505|2917|588|140|448|2859|1206|1653
05000US01027|01027|050|Clay County, Alabama|5765|1967|1951|1428|523|128|395|16|11|5|3798|2147|1843|304|96|208|1651|684|967
05000US01029|01029|050|Cleburne County, Alabama|5590|2022|2004|1572|432|132|300|18|16|2|3568|2124|1858|266|81|185|1444|653|791
05000US01031|01031|050|Coffee County, Alabama|17421|6136|6090|4274|1816|328|1488|46|40|6|11285|6395|5548|847|235|612|4890|2199|2691
05000US01033|01033|050|Colbert County, Alabama|22461|7617|7565|5393|2172|407|1765|52|34|18|14844|8473|7191|1282|340|942|6371|2575|3796
05000US01035|01035|050|Conecuh County, Alabama|5792|2029|2011|1202|809|121|688|18|16|2|3763|1930|1561|369|116|253|1833|795|1038
05000US01037|01037|050|Coosa County, Alabama|4682|1629|1617|1091|526|107|419|12|12||3053|1790|1477|313|99|214|1263|621|642
05000US01039|01039|050|Covington County, Alabama|15640|5107|5075|3593|1482|313|1169|32|26|6|10533|5713|4869|844|245|599|4820|1932|2888
05000US01041|01041|050|Crenshaw County, Alabama|5577|1922|1912|1254|658|113|545|10|9|1|3655|1979|1574|405|92|313|1676|668|1008
05000US01043|01043|050|Cullman County, Alabama|30706|10730|10627|8299|2328|688|1640|103|90|13|19976|11860|10366|1494|470|1024|8116|3649|4467
05000US01045|01045|050|Dale County, Alabama|18878|7358|7294|4937|2357|451|1906|64|50|14|11520|6343|5449|894|236|658|5177|2487|2690
05000US01047|01047|050|Dallas County, Alabama|17841|7061|7030|3333|3697|412|3285|31|22|9|10780|5464|3881|1583|342|1241|5316|2290|3026
05000US01049|01049|050|DeKalb County, Alabama|25113|9114|9024|6824|2200|592|1608|90|69|21|15999|9416|8120|1296|407|889|6583|2735|3848
05000US01051|01051|050|Elmore County, Alabama|22737|9306|9251|6807|2444|508|1936|55|43|12|13431|8291|7145|1146|348|798|5140|2371|2769
05000US01053|01053|050|Escambia County, Alabama|14297|5221|5160|3343|1817|314|1503|61|45|16|9076|4928|4043|885|228|657|4148|1682|2466
05000US01055|01055|050|Etowah County, Alabama|41615|13970|13833|9517|4316|776|3540|137|104|33|27645|15634|13026|2608|699|1909|12011|4812|7199
05000US01057|01057|050|Fayette County, Alabama|7493|2545|2524|1854|670|161|509|21|18|3|4948|2818|2439|379|94|285|2130|871|1259
05000US01059|01059|050|Franklin County, Alabama|12259|4381|4344|3256|1088|253|835|37|31|6|7878|4610|4001|609|175|434|3268|1282|1986
05000US01061|01061|050|Geneva County, Alabama|10477|3558|3518|2527|991|225|766|40|35|5|6919|3939|3380|559|169|390|2980|1232|1748
05000US01063|01063|050|Greene County, Alabama|3931|1524|1521|654|867|62|805|3|1|2|2407|1130|776|354|92|262|1277|617|660
05000US01065|01065|050|Hale County, Alabama|6415|2684|2668|1459|1209|148|1061|16|15|1|3731|1938|1466|472|121|351|1793|836|957
05000US01067|01067|050|Henry County, Alabama|6525|2270|2256|1494|762|137|625|14|12|2|4255|2472|2022|450|116|334|1783|777|1006
05000US01069|01069|050|Houston County, Alabama|35834|12979|12865|8497|4368|704|3664|114|81|33|22855|12248|10324|1924|541|1383|10607|4508|6099
05000US01071|01071|050|Jackson County, Alabama|21615|7539|7468|5526|1942|477|1465|71|60|11|14076|8362|7227|1135|331|804|5714|2501|3213
05000US01073|01073|050|Jefferson County, Alabama|263265|91685|91040|56517|34523|4611|29912|645|436|209|171580|84910|64961|19949|4656|15293|86670|36934|49736
05000US01075|01075|050|Lamar County, Alabama|6468|2206|2196|1607|589|127|462|10|10||4262|2519|2182|337|95|242|1743|733|1010
05000US01077|01077|050|Lauderdale County, Alabama|36088|11883|11788|8653|3135|557|2578|95|63|32|24205|13375|11497|1878|545|1333|10830|4534|6296
05000US01079|01079|050|Lawrence County, Alabama|13538|5204|5167|3889|1278|289|989|37|31|6|8334|5030|4297|733|201|532|3304|1447|1857
05000US01081|01081|050|Lee County, Alabama|45702|14984|14840|10136|4704|878|3826|144|110|34|30718|12430|10023|2407|836|1571|18288|9578|8710
05000US01083|01083|050|Limestone County, Alabama|24688|9321|9245|7064|2181|489|1692|76|65|11|15367|8986|7751|1235|356|879|6381|2881|3500
05000US01085|01085|050|Lowndes County, Alabama|4909|2113|2104|1033|1071|129|942|9|5|4|2796|1484|1071|413|93|320|1312|652|660
05000US01087|01087|050|Macon County, Alabama|8950|3120|3097|1263|1834|209|1625|23|13|10|5830|2446|1573|873|186|687|3384|1502|1882
