证券代码,证券简称,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROE,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA,ROA
000001.SZ,平安银行,,12.3022,,24.0997,,17.0383,,35.0751,,16.0995,,29.0799,,10.547,,21.6143,,6.3448,,16.8816,,5.9523,,13.261,,4.602,,9.6183,4.9452,8.3002,10.9198,11.6886,3.9877,6.6765,8.1279,10.4147,5.0007,6.6095,9.2857,6.383,3.2368,3.2962,7.5554,6.3868,4.5197,8.7094,16.0293,22.6025,7.8801,15.861,25.2543,27.2057,7.4253,14.3164,21.1403,4.1761,6.7044,13.4429,20.4987,27.2887,7.4126,11.9201,17.9951,23.2809,6.9165,13.2051,14.8946,19.2441,4.5681,8.8308,13.2071,16.9537,4.1358,8.5414,13.0164,15.4724,4.4066,8.6447,13.1431,16.2959,4.2062,8.2213,12.3158,14.953,3.487,6.9604,10.4073,12.4283,3.0319,6.0702,9.1144,10.9324,0.8139,0.3156,0.4952,0.3983,0.2547,0.1068,0.078,0.0975,0.0875,0.6375,0.5095,0.1445,0.7447,0.4684,0.4893,0.2437,0.4821,0.9893,0.79,0.2143,0.0419,0.5126,0.3335,0.6377,0.2241,0.2021,0.6005,0.2572,0.2791,0.9916,0.9013,0.737,0.1141,0.9653,0.2523,0.1401,0.1089,0.9358,0.6794,0.2091,0.8955,0.0748,0.8282,0.5776,0.3404,0.3898,0.4719,0.3033,0.3705,0.783,0.2903,0.5089,0.7075,0.8103,0.9972,0.5591,0.4524,0.6053,0.8319,0.6097,0.6946,0.383,0.4974,0.0112,0.3199,0.2566,0.5406,0.4405,0.1791,0.8673,0.3697,0.2889,0.5254,0.3621,0.1676,0.1123,0.8921,0.4816,0.0415,0.1206,0.477,0.6381,0.3555,0.6488,0.4715,0.4706,0.9883,0.3915,0.914,0.0745,0.6818,0.882
000002.SZ,万科A,,5.8109,,12.9979,,4.436,,11.9124,,4.8077,,11.8138,,4.3964,,10.5747,,4.2044,,11.2308,,4.6522,,12.0511,,5.7267,,12.3957,0.9733,4.4488,5.8138,11.758,1.2033,5.3961,7.0009,13.419,2.0733,6.0874,7.3978,16.1049,3.9805,12.3648,13.4734,18.6105,4.6195,13.58,15.9207,19.7768,4.0042,10.8514,9.3431,21.916,2.4146,6.9514,7.6693,13.1866,2.3807,7.6021,8.8505,15.3888,2.9509,7.2911,8.4296,17.8489,2.6851,6.5855,7.8656,19.8042,2.6013,6.894,9.2962,21.493,2.4944,6.9844,9.3272,21.4872,2.0333,6.2545,8.3103,19.0784,0.7346,5.5248,7.7412,19.2403,0.8298,5.4151,8.2382,19.6815,0.6116,6.4601,9.652,22.7952,0.2015,0.5915,0.9001,0.3891,0.8028,0.7624,0.2651,0.6603,0.3233,0.5968,0.1311,0.6226,0.7564,0.9178,0.3211,0.7424,0.3651,0.0302,0.0203,0.0036,0.4398,0.7674,0.1055,0.0087,0.7638,0.1096,0.1047,0.2425,0.91,0.6033,0.9622,0.5036,0.632,0.8034,0.1927,0.1667,0.4911,0.4158,0.6796,0.9461,0.933,0.4323,0.6898,0.9232,0.6175,0.1103,0.7059,0.832,0.0691,0.0311,0.2986,0.7786,0.3029,0.4845,0.978,0.1654,0.4458,0.7578,0.9918,0.9838,0.9612,0.2727,0.9529,0.9517,0.4891,0.6334,0.4919,0.0083,0.2796,0.3388,0.6031,0.0184,0.1552,0.2611,0.59,0.2044,0.2716,0.3999,0.6032,0.9958,0.183,0.6934,0.948,0.9178,0.5974,0.9398,0.3599,0.8123,0.6374,0.2205,0.1629,0.5102
000004.SZ,国农科技,,4.6842,,-4.5674,,-2.3527,,-52.5409,,2.8565,,10.7674,,2.837,,-71.0949,,1.3412,,9.5672,,9.0695,,28.2566,,14.1855,,12.0088,-3.1664,-7.5076,-2.0765,5.7751,-1.4727,-2.6053,-2.6758,3.9051,-3.9334,-3.2703,-2.0097,-4.1505,-1.386,-2.4202,-5.4763,-15.0802,0.2039,-2.0248,-5.0619,0.8414,0.1294,-4.8607,-6.7986,-12.045,-1.4239,-2.3854,-4.5396,-16.6644,-1.3904,-1.6236,-3.5235,3.9554,-0.1331,5.5388,14.0997,17.069,0.2336,0.366,0.7184,4.0436,0.0112,-1.0515,-0.5587,2.6249,1.037,0.0698,1.14,-1.3431,-3.7478,-6.3542,-7.5598,4.8519,-2.3361,1.4988,2.9161,1.5416,-2.9784,3.5966,16.5389,38.8437,-0.9797,-3.1715,-4.6012,6.8476,0.1395,0.5836,0.0016,0.3357,0.2039,0.7479,0.5714,0.0698,0.4979,0.1347,0.9342,0.3561,0.7147,0.2387,0.6922,0.0754,0.1889,0.9864,0.584,0.5996,0.708,0.944,0.6585,0.0608,0.3506,0.1393,0.5224,0.3405,0.4801,0.7744,0.5324,0.9435,0.0636,0.7739,0.5775,0.1625,0.2024,0.8246,0.7957,0.7163,0.3591,0.6139,0.6723,0.4864,0.2907,0.7686,0.8275,0.8121,0.99,0.0688,0.303,0.6867,0.3929,0.0608,0.8747,0.5569,0.4052,0.3483,0.8674,0.1357,0.0357,0.1818,0.3077,0.6809,0.3392,0.8189,0.3368,0.3814,0.7855,0.47,0.9961,0.5614,0.6156,0.0662,0.7229,0.8552,0.9909,0.5145,0.1312,0.5139,0.9419,0.1453,0.3337,0.5838,0.2245,0.093,0.9389,0.7652,0.1869,0.7366,0.8529,0.4526
000005.SZ,世纪星源,,4.6139,,11.3146,,4.5086,,9.6166,,-12.6223,,22.5861,,7.7268,,18.0095,,10.6762,,12.4477,,0.307,,0.1151,,0.0307,,-6.9962,-0.3978,-2.3442,-2.7547,-8.1442,-1.5136,-1.4016,-1.1781,0.2281,0.1002,0.1142,0.1417,0.1862,-0.755,-1.7121,-2.8886,-23.2434,8.6395,9.1084,9.786,-9.5068,5.4885,9.839,11.9805,11.8497,0.2991,0.7244,1.3554,1.3896,0.5043,-0.2883,-1.5711,-6.7274,-0.9862,-2.3054,-3.8508,-0.6426,-0.9252,3.901,1.9834,1.7097,-1.8699,-4.534,-2.0494,3.2818,-1.3633,-3.3474,-4.3439,-6.4829,-1.4006,-4.1234,-5.2495,6.6716,-1.2118,-3.5234,-4.5565,-6.0755,-0.5941,10.475,11.0044,8.9385,-0.7938,-1.3942,-1.2722,1.1753,0.8434,0.9905,0.31,0.8925,0.9753,0.8783,0.9078,0.5654,0.7321,0.6733,0.7859,0.2845,0.4134,0.0624,0.4064,0.438,0.0183,0.6917,0.7854,0.2612,0.2027,0.1137,0.2483,0.1161,0.1742,0.307,0.2088,0.8165,0.9388,0.7861,0.5794,0.3672,0.4579,0.3962,0.2514,0.2256,0.9692,0.1331,0.4396,0.5147,0.4644,0.4592,0.0286,0.5194,0.189,0.5455,0.1978,0.1398,0.0812,0.2156,0.9731,0.6034,0.6699,0.364,0.1646,0.7851,0.7682,0.6356,0.1799,0.7182,0.6514,0.9759,0.8576,0.7612,0.7954,0.8881,0.2427,0.7979,0.2643,0.0939,0.6975,0.6812,0.6125,0.4175,0.7089,0.0895,0.8444,0.3247,0.0502,0.5099,0.5466,0.9781,0.6588,0.4648,0.3228,0.4914,0.3329,0.0546,0.7035,0.2462,0.3836,0.6263
000006.SZ,深振业A,,8.6668,,11.6644,,1.4518,,15.8517,,11.9993,,15.7738,,5.6972,,11.0689,,4.1322,,8.6817,,2.6503,,10.8527,,4.4819,,9.7706,0.423,2.5621,3.7051,-0.6436,-1.3105,0.2326,-4.2157,-18.4264,-0.8497,-5.0891,-3.9326,6.5904,1.5774,0.1466,2.3991,10.6825,3.1513,14.7039,15.3418,16.863,0.9753,5.6718,9.1404,15.7922,12.5178,13.6282,13.7522,9.0423,3.6731,6.3025,9.9616,17.5935,1.7952,4.8008,6.2662,21.0921,2.1241,5.2227,10.6562,16.5086,2.7711,8.9042,11.4808,19.7354,1.7625,7.5826,9.9579,18.4428,0.7511,1.2322,5.9817,12.3497,4.7603,6.1677,6.6016,9.7743,1.105,2.3401,2.6203,16.5687,2.0537,4.9837,6.7113,15.2396,0.2972,0.4438,0.5442,0.5704,0.673,0.4378,0.5452,0.0262,0.663,0.3084,0.5229,0.2513,0.3521,0.5273,0.4831,0.4357,0.7921,0.8888,0.07,0.0683,0.4845,0.0122,0.7602,0.3294,0.3211,0.2391,0.1064,0.601,0.8114,0.7377,0.3112,0.4042,0.0585,0.3144,0.2496,0.0591,0.9111,0.9077,0.0561,0.599,0.8302,0.9278,0.9278,0.6733,0.9309,0.5713,0.4187,0.7676,0.1626,0.5565,0.4842,0.3688,0.6376,0.7188,0.2083,0.2597,0.7931,0.2236,0.1794,0.6915,0.1448,0.3665,0.8291,0.6534,0.6463,0.4934,0.306,0.8814,0.0714,0.0055,0.2451,0.7271,0.2162,0.721,0.9387,0.7327,0.9923,0.8214,0.7828,0.2662,0.0695,0.5293,0.4867,0.7278,0.3391,0.2171,0.8472,0.9788,0.5817,0.6254,0.9023,0.7273
000007.SZ,全新好,,3.6357,,2.1468,,2.4313,,11.1337,,5.2114,,10.6686,,0.9496,,10.5908,,1.0649,,0.4891,,-10.501,,-93.7937,,-11.0759,-26.993,13.7112,3.0957,10.3387,14.6059,12.7202,2.9916,4.8231,2.3827,6.931,-5.018,-9.3281,-18.4872,-91.4863,17.1286,6.0941,-12.9737,10.0899,-5.7896,-10.6521,-29.4872,-463.0147,,,,,,,,,,,,,,,,,,-0.6652,0.1372,4.8244,0.1762,2.2594,3.8072,2.3488,-3.2259,0.3806,13.4764,7.3504,-1.7856,-1.0802,-1.8516,-8.6036,-1.3809,-2.1174,-3.3574,3.8658,2.0535,2.885,4.6164,21.0954,0.0747,5.5235,2.7495,4.3448,0.0709,0.1578,0.6845,0.9219,0.4761,0.6819,0.5994,0.2228,0.037,0.0089,0.6374,0.7433,0.9006,0.0113,0.7003,0.3895,0.9189,0.9177,0.8746,0.8641,0.555,0.17,0.6803,0.4121,0.9637,0.3519,0.3095,0.562,0.5323,0.7379,0.3882,0.3403,0.433,0.2059,0.2333,0.5951,0.1538,0.6447,0.7985,0.8718,0.8092,0.6379,0.76,0.3132,0.3123,0.5024,0.7238,0.7489,0.9472,0.743,0.0578,0.0426,0.036,0.8415,0.1557,0.188,0.9991,0.9701,0.1134,0.0813,0.0462,0.6332,0.3455,0.9583,0.2922,0.7986,0.8798,0.6622,0.8224,0.6755,0.7466,0.0969,0.15,0.4313,0.3902,0.607,0.6858,0.9557,0.7752,0.1554,0.8759,0.6694,0.136,0.8335,0.3125,0.626,0.3847,0.8074,0.8345,0.7518,0.0391,0.2458
000008.SZ,神州高铁,,0.0238,,0.1043,,-5.2907,,-11.2153,,0.6262,,5.3392,,-4.7853,,-51.6698,,8.6288,,21.3629,,25.8574,,18.9962,,-17.3181,,-449.4186,,,,,,,,,0.442,0.9575,2.3641,74.628,0.6647,0.3835,-3.813,-7.4998,-0.1419,-0.655,-0.8976,-2.5246,1.3578,1.4803,2.9258,2.3245,0.3513,0.3313,0.4317,1.0231,-0.1738,-0.4457,-0.1177,0.4284,-0.0824,0.023,0.1195,1.2035,-0.3693,-0.4621,-0.5943,-0.7277,-0.039,0.0718,0.1166,12.7314,0.7276,1.931,3.0992,4.1213,0.8484,1.5202,1.7194,1.3688,3.3732,4.1631,5.6554,10.6726,0.2726,0.9824,4.9778,11.5699,0.1525,0.9078,1.9734,13.2206,0.0925,0.2763,0.0165,0.0981,0.747,0.1089,0.5934,0.9697,0.7668,0.0438,0.4222,0.9871,0.3928,0.4955,0.0987,0.8421,0.5993,0.3781,0.8557,0.0854,0.0048,0.1353,0.6907,0.1172,0.7047,0.8648,0.7214,0.5275,0.7683,0.3502,0.355,0.2191,0.8878,0.321,0.5121,0.5137,0.0146,0.5395,0.2192,0.6798,0.5969,0.1771,0.1999,0.2184,0.9565,0.8697,0.7016,0.7457,0.7446,0.6276,0.3722,0.5546,0.9576,0.0289,0.7875,0.815,0.8975,0.3972,0.3451,0.9289,0.3051,0.0122,0.3003,0.3656,0.7283,0.1535,0.0558,0.1167,0.1858,0.9681,0.9883,0.4846,0.5996,0.8643,0.8657,0.3829,0.2926,0.845,0.291,0.0009,0.1962,0.6049,0.2938,0.8936,0.6171,0.1465,0.5172,0.9717,0.9424,0.3255,0.2617,0.3608
000009.SZ,中国宝安,,5.7235,,7.8052,,2.1481,,1.9169,,0.879,,0.1461,,-4.395,,-27.7547,,0.4943,,2.5252,,1.6575,,2.9275,,0.9151,,3.2678,0.3935,0.6176,0.6864,1.1615,0.3585,0.4922,0.5862,1.1324,0.2435,0.5119,0.5973,-10.4527,0.567,0.7618,0.8893,6.3602,0.1879,0.1489,-0.1165,10.3179,2.9414,7.0559,10.1849,14.6266,5.186,8.7615,10.5619,11.6688,3.5155,8.6458,10.6656,13.5694,3.8134,9.139,11.4174,14.4478,4.046,8.4464,9.002,10.4952,1.2301,1.9145,2.1248,5.6917,0.8386,1.0355,9.885,9.4462,2.3079,7.03,7.9019,9.3629,1.587,3.3773,17.5515,19.4651,0.6772,1.6156,4.6897,5.2409,0.7437,1.778,3.9566,2.8125,0.262,0.012,0.1336,0.7588,0.8156,0.1244,0.0089,0.4604,0.3395,0.8072,0.2638,0.5783,0.1484,0.8938,0.2137,0.7658,0.6534,0.317,0.0092,0.5427,0.4465,0.4901,0.9597,0.0697,0.3957,0.5504,0.3669,0.7594,0.686,0.15,0.8129,0.9773,0.8464,0.2588,0.8528,0.8697,0.4834,0.2507,0.9913,0.6797,0.3441,0.8641,0.7715,0.8525,0.7579,0.1854,0.935,0.8218,0.4871,0.758,0.5905,0.2635,0.7828,0.0149,0.0614,0.095,0.1705,0.7954,0.0246,0.6849,0.93,0.5168,0.5958,0.8314,0.6708,0.7924,0.7401,0.207,0.8261,0.3167,0.8805,0.7766,0.6318,0.8251,0.0178,0.1511,0.8472,0.3416,0.5958,0.9365,0.235,0.3642,0.8537,0.5724,0.6988,0.8188,0.428,0.0142,0.3038,0.5419,0.4003,0.281
000010.SZ,美丽生态,,6.0807,,13.454,,4.3739,,10.5232,,2.5572,,10.7765,,0.6852,,13.3811,,-10.6896,,-38.5382,,-1.9927,,14.4649,,0.9942,,1.1517,0.0848,0.7881,1.0427,7.7458,0.1086,2.9295,4.9542,4.2264,0.1662,-0.0486,0.1011,-9.224,-4.5724,-6.6599,-8.4793,-75.926,-0.6748,-33.6547,-37.2505,7.5186,-2.3145,-7.7516,-13.2117,-35.4831,0.0856,-0.8531,17.1051,21.1343,7.4178,15.4702,16.5942,17.1804,-2.9945,-7.7647,-2.6648,-2.2275,-6.5575,-9.3673,0.4461,10.1609,-3.9082,-4.5526,-11.4182,1.3371,-9.5244,2.2347,2.586,0.9283,-0.9307,-1.0389,-2.2504,-12.7799,-0.3978,0.2971,0.5049,2.4577,-1.5149,1.2027,1.0038,1.8164,-1.158,-2.0777,0.571,-62.9955,0.3391,0.6839,0.8322,0.1406,0.9377,0.1575,0.1924,0.343,0.8503,0.0289,0.3136,0.3348,0.253,0.0712,0.9695,0.8264,0.9439,0.1723,0.0523,0.2388,0.5475,0.5616,0.7368,0.5964,0.3379,0.9902,0.1652,0.8102,0.849,0.3236,0.6661,0.5974,0.1465,0.9089,0.779,0.898,0.3201,0.0799,0.703,0.6185,0.5786,0.0359,0.5141,0.5358,0.2707,0.8189,0.5049,0.837,0.1423,0.6363,0.8642,0.7309,0.5182,0.1822,0.6208,0.663,0.5463,0.4408,0.6939,0.7585,0.1815,0.9427,0.5677,0.9066,0.1735,0.5904,0.7871,0.5161,0.6056,0.9566,0.8,0.7428,0.434,0.5648,0.4857,0.8243,0.7506,0.3282,0.747,0.38,0.2393,0.8924,0.9771,0.4825,0.603,0.5358,0.8724,0.7449,0.7628,0.3781,0.3365,0.56
000011.SZ,深物业A,,5.3954,,16.4057,,1.0772,,0.1002,,0.362,,-46.2117,,0.4341,,1.8256,,1.1042,,12.0335,,6.1346,,24.8926,-5.152,4.3505,8.034,31.4056,0.0269,2.3966,2.9739,11.1007,0.0212,2.2614,3.686,18.963,0.0249,1.7689,5.428,17.6382,0.0231,2.6625,5.2416,13.2769,-1.2461,-3.1354,-5.4572,-7.3907,-1.0089,-2.6455,-5.0488,-4.7356,-0.8985,-0.5568,-2.3029,1.7297,3.1866,17.0408,24.6316,15.7353,0.4284,17.4904,18.5447,22.7918,27.9889,29.2753,29.8197,25.6892,0.482,8.346,14.3608,28.5123,14.5783,21.0545,21.1945,18.2,1.5264,6.2805,17.0958,21.5371,0.0172,1.5406,2.2891,7.5139,0.0275,-0.2531,-0.3475,15.7353,11.7746,14.3549,21.7861,23.3664,0.803,0.1311,0.8498,0.2883,0.8212,0.7226,0.2127,0.6457,0.8653,0.5961,0.6327,0.5573,0.3312,0.3541,0.0127,0.2684,0.0638,0.8144,0.195,0.0826,0.7925,0.8434,0.2402,0.1391,0.5487,0.077,0.1906,0.7957,0.6284,0.4299,0.1917,0.3269,0.9095,0.8744,0.5941,0.5027,0.8202,0.0007,0.814,0.9437,0.3935,0.8411,0.8843,0.7821,0.2111,0.1366,0.2292,0.4979,0.0692,0.7549,0.8031,0.2811,0.6398,0.7828,0.8355,0.2997,0.0612,0.6833,0.8561,0.8015,0.8819,0.4988,0.3793,0.3858,0.7787,0.9315,0.6852,0.4093,0.757,0.815,0.1643,0.4617,0.8103,0.7181,0.9392,0.8545,0.338,0.8075,0.3768,0.052,0.2993,0.303,0.8107,0.376,0.1937,0.3304,0.9782,0.126,0.9631,0.3708,0.941,0.9284
